"subregion","long","lat","group","order"
"North Island",175.016799926758,-40.84765625,1110,70073
"North Island",175.162490844727,-40.62158203125,1110,70074
"North Island",175.200485229492,-40.50537109375,1110,70075
"North Island",175.254104614258,-40.2893562316895,1110,70076
"North Island",175.210159301758,-40.1994132995605,1110,70077
"North Island",175.155960083008,-40.1149406433105,1110,70078
"North Island",175.00927734375,-39.9521484375,1110,70079
"North Island",174.813766479492,-39.8601570129395,1110,70080
"North Island",174.687301635742,-39.84716796875,1110,70081
"North Island",174.567474365234,-39.81298828125,1110,70082
"North Island",174.454681396484,-39.7351531982422,1110,70083
"North Island",174.35205078125,-39.6433601379395,1110,70084
"North Island",174.148635864258,-39.5681648254395,1110,70085
"North Island",173.934371948242,-39.5090827941895,1110,70086
"North Island",173.812118530273,-39.42578125,1110,70087
"North Island",173.783004760742,-39.3761749267578,1110,70088
"North Island",173.763671875,-39.3187484741211,1110,70089
"North Island",173.766403198242,-39.2653350830078,1110,70090
"North Island",173.781631469727,-39.2112312316895,1110,70091
"North Island",173.806045532227,-39.1695289611816,1110,70092
"North Island",173.844345092773,-39.1393547058105,1110,70093
"North Island",174.071380615234,-39.03125,1110,70094
"North Island",174.311721801758,-38.9710922241211,1110,70095
"North Island",174.356048583984,-38.97216796875,1110,70096
"North Island",174.3984375,-38.9626007080078,1110,70097
"North Island",174.45849609375,-38.92578125,1110,70098
