ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
2381,1,2,2,3,1,4,1,1,9,2,38,9,2,9,7,1,2,1,2,4
2413,1,2,2,3,2,3,2,2,6,2,19,8,2,9,3,0,1,0,2,4
2446,1,1,1,3,2,4,2,1,8,1,35,6,4,9,4,0,2,1,2,4
2447,1,2,2,3,2,4,2,3,8,2,31,8,3,10,5,0,1,1,2,4
2458,1,1,1,3,1,4,2,2,7,2,49,6,3,8,7,0,2,0,2,4
2465,1,2,2,1,2,3,2,3,6,2,61,6,, ,4,0,3,1,3,4
2479,1,1,1,4,2,4,1,1,10,1,20,9,,6,7,1,1,1,1,4
2490,1,1,1,2,1,3,1,2,9,1,45,7,3,9,3,1,2,1,2,4
2520,1,2,,,,1,1,2,7,2,56,8,, ,4,1,3,0,2,4
2554,1,1,1,3,2,3,1,2,8,1,43,6,4,7,2,1,2,0,2,4
2570,1,1,1,4,2,4,2,2,7,2,47,9,4,7,4,0,2,0,2,4
2579,1,1,1,1,2,,2,3,7,1,58,6,4,6,3,0,3,1,2,4
2593,1,1,2,2,2,3,2,2,9,1,34,8,2,10,2,0,1,1,2,4
2639,1,1,2,3,2,2,1,1,10,2,24,9,,10,7,1,1,1,2,4
2648,1,2,2,2,1,3,2,2,6,2,33,9,3,8,7,0,1,1,1,4
2673,1,1,1,3,1,3,2,1,9,2,72,6,3,2,7,0,4,0,3,4
2675,1,2,2,2,3,2,2,2,9,2,64,6,3,4,7,0,3,0,2,4
2681,1,1,1,1,1,1,1,3,10,1,72,6,, ,6,1,4,0,2,4
2687,1,2,1,3,2,3,2,2,6,1,37,7,4,9,7,0,2,1,2,4
2694,1,1,1,2,2,3,2,1,7,2,47,9,2,9,7,0,2,1,2,4
2707,1,2,2,3,2,4,2,2,6,1,43,8,4,6,6,0,2,1,2,4
2728,1,1,1,3,2,4,2,1,8,1,32,8,2,9,7,0,1,1,2,4
2743,2,2,1,2,2,3,2,2,6,1,42,8,4,5,7,0,2,1,1,4
2756,1,1,2,2,3,1,1,2,8,2,56,9,2,10,7,1,3,1,2,4
2770,2,1,1,4,2,4,2,2,7,2,44,9,4,6,1,0,2,0,2,4
2781,1,2,2,3,2,4,2,1,8,1,46,9,2,10,3,0,2,1,2,4
2794,1,1,1,2,,3,2,3,7,1,66,6,4,2,7,0,4,0,2,4
2830,1,1,1,3,3,2,1,2,9,1,74,8,,5,4,1,4,1,2,4
2847,3,3,2,1,,1,2,2,5,1,69,8,,4,7,0,4,1,2,4
2848,1,1,1,2,1,3,1,1,10,1,65,6,2,6,6,1,4,1, ,4
2864,1,1,1,2,2,1,1,1,10,2,36,6,,8,7,1,2,1,2,4
